Date,Open,High,Low,Close,Adj Close,Volume,Name
21-05-2019,1874.790039,1879,1846,1857.52002,1857.52002,4005100,AMZN
21-05-2019,184.570007,185.699997,183.889999,184.820007,184.820007,7502800,FB
21-05-2019,1148.48999,1152.708008,1137.939941,1149.630005,1149.630005,1159800,GOOG
21-05-2019,350.950012,356.429993,349.929993,354.269989,354.269989,4026400,NFLX
21-05-2019,197.759995,207.399994,196.039993,205.080002,205.080002,18003900,TSLA
20-05-2019,183.520004,184.350006,180.279999,183.089996,183.089996,38612300,AAPL
20-05-2019,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798200,AMZN
20-05-2019,181.880005,184.229996,181.369995,182.720001,182.720001,10352000,FB
20-05-2019,1144.5,1146.796997,1131.442993,1138.849976,1138.849976,1353300,GOOG
20-05-2019,351.230011,352.420013,345.399994,348.109985,348.109985,4621500,NFLX
20-05-2019,202.800003,206,195.25,205.360001,205.360001,20526200,TSLA
17-05-2019,186.929993,190.899994,186.759995,189,189,32879100,AAPL
17-05-2019,1893.050049,1910.530029,1867.329956,1869,1869,4736600,AMZN
17-05-2019,184.839996,187.580002,184.279999,185.300003,185.300003,10485400,FB
17-05-2019,1168.469971,1180.150024,1160.01001,1162.300049,1162.300049,1208600,GOOG
17-05-2019,356.390015,359.619995,353.790009,354.450012,354.450012,4725400,NFLX
17-05-2019,221.960007,222.240005,208.919998,211.029999,211.029999,17786700,TSLA
16-05-2019,189.910004,192.470001,188.839996,190.080002,190.080002,33031400,AAPL
16-05-2019,1885.939941,1917.51001,1882.290039,1907.569946,1907.569946,4707800,AMZN
16-05-2019,185.050003,188.580002,185.050003,186.990005,186.990005,12953100,FB
16-05-2019,1164.51001,1188.160034,1162.839966,1178.97998,1178.97998,1531400,GOOG
16-05-2019,356.369995,364,353.940002,359.309998,359.309998,6441500,NFLX
16-05-2019,229.490005,231,226.5,228.330002,228.330002,7483300,TSLA
15-05-2019,186.270004,191.75,186.020004,190.919998,190.919998,26544700,AAPL
15-05-2019,1827.949951,1874.430054,1823,1871.150024,1871.150024,4692600,AMZN
15-05-2019,180.419998,187.279999,180.020004,186.270004,186.270004,16746900,FB
15-05-2019,1117.869995,1171.329956,1116.666016,1164.209961,1164.209961,2289300,GOOG
15-05-2019,343.339996,356.5,341.390015,354.98999,354.98999,6340100,NFLX
15-05-2019,229.320007,232.440002,225.25,231.949997,231.949997,7296000,TSLA
14-05-2019,186.410004,189.699997,185.410004,188.660004,188.660004,36529700,AAPL
14-05-2019,1839.5,1852.439941,1815.75,1840.119995,1840.119995,4629100,AMZN
14-05-2019,182.520004,183.490005,178.100006,180.729996,180.729996,17628100,FB
14-05-2019,1137.209961,1140.420044,1119.550049,1120.439941,1120.439941,1836600,GOOG
14-05-2019,348.709991,349.950012,342.5,345.609985,345.609985,5353000,NFLX
14-05-2019,229.300003,234.5,228,232.309998,232.309998,7252400,TSLA
13-05-2019,187.710007,189.479996,182.850006,185.720001,185.720001,57430600,AAPL
13-05-2019,1836.560059,1846.540039,1818,1822.680054,1822.680054,5783400,AMZN
13-05-2019,183.5,185.429993,180.839996,181.539993,181.539993,16833300,FB
13-05-2019,1141.959961,1147.939941,1122.109985,1132.030029,1132.030029,1860600,GOOG
13-05-2019,352.290009,354.26001,343.100006,345.26001,345.26001,8026700,NFLX
13-05-2019,232.009995,232.470001,224.5,227.009995,227.009995,10834800,TSLA
10-05-2019,197.419998,198.850006,192.770004,197.179993,197.179993,41208700,AAPL
10-05-2019,1898,1903.790039,1856,1889.97998,1889.97998,5718000,AMZN
10-05-2019,188.25,190,184.589996,188.339996,188.339996,12578500,FB
10-05-2019,1163.589966,1172.599976,1142.5,1164.27002,1164.27002,1314500,GOOG
10-05-2019,361.619995,365.26001,353.059998,361.040009,361.040009,5657100,NFLX
10-05-2019,239.75,241.990005,236.020004,239.520004,239.520004,7008300,TSLA
09-05-2019,200.399994,201.679993,196.660004,200.720001,199.949997,34908600,AAPL
09-05-2019,1900,1909.400024,1876,1899.869995,1899.869995,5308300,AMZN
09-05-2019,187.199997,189.770004,186.259995,188.649994,188.649994,12967000,FB
09-05-2019,1159.030029,1169.660034,1150.849976,1162.380005,1162.380005,1185700,GOOG
09-05-2019,360.899994,364.200012,352.75,362.75,362.75,5882600,NFLX
